############################################################
#######FICHERO DE LOG DE PARTIDA, PUEDES BORRARLO###########
############################################################
Fri Oct 09 10:32:43 CEST 2015;Neutro
Usuario 1;Fri Oct 09 10:36:26 CEST 2015;-200;4800;T;Biblioteca.
Usuario 1;Fri Oct 09 10:36:27 CEST 2015;-200;4800;V;Mujer;Biblioteca;1
Usuario 1;Fri Oct 09 10:36:31 CEST 2015;-200;4800;P;Mujer;Biblioteca;personaje;no joven
Usuario 1;Fri Oct 09 10:36:31 CEST 2015;-200;5800;F;Mujer;Biblioteca;Espejo
Usuario 1;Fri Oct 09 10:36:31 CEST 2015;-200;5800;T;Pasillo.
Usuario 1;Fri Oct 09 10:36:39 CEST 2015;-200;5800;T;Sotano.
Usuario 1;Fri Oct 09 10:36:41 CEST 2015;-200;5800;V;Joven;Sotano;1
Usuario 1;Fri Oct 09 10:36:44 CEST 2015;-200;5800;T;Pasillo.
Usuario 1;Fri Oct 09 10:36:57 CEST 2015;-200;5800;T;Dormitorio.
Usuario 1;Fri Oct 09 10:36:58 CEST 2015;-200;5800;L;Dormitorio;1
Usuario 1;Fri Oct 09 10:36:59 CEST 2015;-200;5800;A;Libro;Dormitorio;1
Usuario 1;Fri Oct 09 10:37:00 CEST 2015;-200;5800;L;Dormitorio;0
Usuario 1;Fri Oct 09 10:37:01 CEST 2015;-200;5800;T;Pasillo.
Usuario 1;Fri Oct 09 10:37:05 CEST 2015;-200;5800;T;Atico.
Usuario 1;Fri Oct 09 10:37:05 CEST 2015;-200;5800;L;Atico;1
Usuario 1;Fri Oct 09 10:37:05 CEST 2015;-200;5800;L;Atico;0
Usuario 1;Fri Oct 09 10:37:06 CEST 2015;-200;5800;L;Atico;1
Usuario 1;Fri Oct 09 10:37:08 CEST 2015;-200;5800;A;Boligrafo;Atico;1
Usuario 1;Fri Oct 09 10:37:09 CEST 2015;-200;5800;L;Atico;0
Usuario 1;Fri Oct 09 10:37:10 CEST 2015;-200;5800;T;Pasillo.
Usuario 1;Fri Oct 09 10:37:12 CEST 2015;-200;5800;T;inventario.
Usuario 1;Fri Oct 09 10:37:16 CEST 2015;-200;5800;B;Inventario;Libro;Boligrafo;LibroPintado
Usuario 1;Fri Oct 09 10:37:18 CEST 2015;-200;5800;T;pasillo.
Usuario 1;Fri Oct 09 10:37:31 CEST 2015;-200;5800;T;Sotano.
Usuario 1;Fri Oct 09 10:37:32 CEST 2015;-200;5800;V;Joven;Sotano;1
Usuario 1;Fri Oct 09 10:37:50 CEST 2015;-200;5800;P;Joven;Sotano;personaje;no corbata
Usuario 1;Fri Oct 09 10:37:50 CEST 2015;-200;6800;F;Joven;Sotano;LibroPintado
